config_id,volume_mm3
6,17069.57
142,12800.11
190,29755.76
501,12358.17
524,17682.61
603,14155.38
606,29788.13
652,22018.91
685,29527.32
742,11452.07
766,19651.36
777,13020.58
860,14174.09
972,29607.44
986,14986.04
1075,11889.28
1092,11664.37
1120,16165.02
1182,18428.39
1188,14657.58
1308,12842.68
1386,12705.34
1416,14245.4
1448,18506.34
1493,14781.82
1553,11574.82
1621,23577.59
1723,10648.63
1744,22497.82
1746,22419.46
1775,12367.42
1777,16271.67
1828,22942.01
1859,24734.01
1861,23883.37
1934,29179.5
1943,26558.18
1986,24677.99
2004,14622.29
2163,13555.86
2218,16953.18
2287,34137.18
2301,14971.77
2381,22461.63
2427,21981.5
2515,15674.75
2570,42285.86
2620,27354.1
2742,29935.56
2810,15162.67
2901,9824.68
2921,10375.23
2940,9613.65
3050,8561.91
3072,9742.46
3122,16511.98
3208,13257.55
3274,10068.04
3347,23253.54
3462,14835.61
3529,16087.36
3562,16029.25
3569,20179.28
3682,30042.38
3711,38783.14
3720,19685.56
3856,20853.71
3887,27772.29
3909,25750.5
3939,12725.47
3961,15133.55
4042,9834.73
4096,15545.99
4100,28737.28
4172,24728.61
4177,19287.86
4190,21805.7
4214,39123.26
4247,18497.74
4270,9371.16
4291,17632.99
4309,26266.95
4336,16514.09
4365,11343.07
4385,32560.85
4411,16914.77
4447,22856.09
4594,26117.97
4684,21813.3
4695,16248.25
4717,12640.89
4758,15350.89
4784,30452.53
4811,32214.8
4847,18786.57
4880,24530.4
4882,17661.76
4912,12309.05
4921,12125.38
4976,13462.2
